"country","2008","2014"
"Germany",3122546.7214,3810885.9006
"France",2263190.6441,2658467.312
"UK",2229259.9878,2630350.4191
"Italy",2082637.2906,2206285.8131
"Spain",1537767.3189,1564460.7854
"Poland",698099.5366,977186.0145
"Netherlands",753929.826,826588.2819
"Belgium",408408.8539,502116.8899
"Sweden",385875.8925,449945.5083
"Austria",341669.4025,415257.2665
